n_db,cv_method,measure,p,r,dbs
5,k2x5,t,0.1,9,sonar:monkone:hayes:monktwo:yeast3
5,k10,w,0.05,2,sonar:monkone:hayes:monktwo:yeast3
5,k10,w,0.05,3,ionosphere:sonar:monkone:monktwo:yeast3
5,k10,w,0.05,7,sonar:monkone:iris:monktwo:yeast3
5,k20,w,0.05,2,sonar:monkone:hayes:monktwo:yeast3
5,k20,w,0.05,3,sonar:monkone:hayes:monktwo:yeast3
5,k20,w,0.05,5,sonar:monkone:hayes:monktwo:yeast3
5,k20,w,0.05,9,ionosphere:sonar:monkone:monktwo:yeast3
5,k2x5,w,0.05,3,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,w,0.05,6,sonar:monkone:iris:monktwo:yeast3
5,k2x5,w,0.05,7,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,w,0.05,8,sonar:monkone:hayes:monktwo:yeast3
5,k10,w,0.1,5,sonar:monkone:hayes:monktwo:yeast3
5,k10,w,0.1,7,sonar:monkone:iris:monktwo:yeast3
5,k20,w,0.1,2,sonar:monkone:hayes:monktwo:yeast3
5,k20,w,0.1,3,sonar:monkone:hayes:monktwo:yeast3
5,k20,w,0.1,6,sonar:monkone:iris:monktwo:yeast3
5,k2x5,w,0.1,3,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,w,0.1,6,sonar:monkone:iris:monktwo:yeast3
5,k2x5,w,0.1,8,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,w,0.1,9,sonar:monkone:hayes:monktwo:yeast3
4,k10,t,0.05,4,ionosphere:sonar:monkone:monktwo
4,k10,t,0.05,9,sonar:monkone:hayes:monktwo
4,k2x5,t,0.05,0,sonar:monkone:monktwo:yeast3
4,k2x5,t,0.05,5,sonar:monkone:monktwo:yeast3
4,k2x5,t,0.05,6,sonar:monkone:monktwo:yeast3
4,k10,t,0.1,4,sonar:monkone:monktwo:yeast3
4,k10,t,0.1,7,sonar:monkone:monktwo:yeast3
4,k10,t,0.1,8,sonar:monkone:monktwo:yeast3
4,k10,t,0.1,9,sonar:monkone:hayes:monktwo
4,k20,t,0.1,6,sonar:monkone:monktwo:yeast3
4,k20,t,0.1,7,sonar:monkone:monktwo:yeast3
4,k20,t,0.1,8,sonar:monkone:monktwo:yeast3
4,k20,t,0.1,9,sonar:monkone:monktwo:yeast3
4,k2x5,t,0.1,0,sonar:monkone:monktwo:yeast3
4,k2x5,t,0.1,5,sonar:monkone:monktwo:yeast3
4,k10,w,0.05,0,sonar:monkone:monktwo:yeast3
4,k10,w,0.05,1,sonar:monkone:monktwo:yeast3
4,k10,w,0.05,4,sonar:monkone:monktwo:yeast3
4,k10,w,0.05,5,sonar:monkone:hayes:monktwo
4,k10,w,0.05,6,sonar:monkone:monktwo:yeast3
4,k10,w,0.05,8,sonar:monkone:monktwo:yeast3
4,k10,w,0.05,9,sonar:monkone:monktwo:yeast3
4,k20,w,0.05,0,sonar:monkone:monktwo:yeast3
4,k20,w,0.05,1,sonar:monkone:monktwo:yeast3
4,k20,w,0.05,4,sonar:monkone:monktwo:yeast3
4,k20,w,0.05,6,sonar:monkone:monktwo:yeast3
4,k20,w,0.05,7,sonar:monkone:monktwo:yeast3
4,k20,w,0.05,8,sonar:monkone:monktwo:yeast3
4,k2x5,w,0.05,0,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,0,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,1,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,2,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,3,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,4,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,6,sonar:monkone:monktwo:yeast3
4,k10,w,0.1,9,sonar:monkone:monktwo:yeast3
4,k20,w,0.1,0,sonar:monkone:hayes:monktwo
4,k20,w,0.1,1,sonar:monkone:monktwo:yeast3
4,k20,w,0.1,4,sonar:monkone:monktwo:yeast3
4,k20,w,0.1,5,sonar:monkone:monktwo:yeast3
4,k20,w,0.1,7,sonar:monkone:monktwo:yeast3
4,k20,w,0.1,8,sonar:monkone:monktwo:yeast3
4,k20,w,0.1,9,sonar:monkone:monktwo:yeast3
4,k2x5,w,0.1,0,sonar:monkone:monktwo:yeast3
4,k2x5,w,0.1,5,sonar:monkone:monktwo:yeast3
3,k10,t,0.05,0,sonar:monkone:monktwo
3,k10,t,0.05,1,sonar:monkone:monktwo
3,k10,t,0.05,2,sonar:monkone:monktwo
3,k10,t,0.05,3,sonar:monkone:monktwo
3,k10,t,0.05,5,sonar:monkone:monktwo
3,k10,t,0.05,6,sonar:monkone:monktwo
3,k10,t,0.05,7,sonar:monkone:monktwo
3,k20,t,0.05,0,sonar:monkone:monktwo
3,k20,t,0.05,1,sonar:monkone:monktwo
3,k20,t,0.05,2,sonar:monkone:monktwo
3,k20,t,0.05,3,sonar:monkone:monktwo
3,k20,t,0.05,4,sonar:monkone:monktwo
3,k20,t,0.05,5,sonar:monkone:monktwo
3,k20,t,0.05,6,sonar:monkone:monktwo
3,k20,t,0.05,7,sonar:monkone:monktwo
3,k20,t,0.05,8,sonar:monkone:monktwo
3,k20,t,0.05,9,sonar:monkone:monktwo
3,k10,t,0.1,1,sonar:monkone:monktwo
3,k10,t,0.1,2,sonar:monkone:monktwo
3,k10,t,0.1,3,sonar:monkone:monktwo
3,k10,t,0.1,6,sonar:monkone:monktwo
3,k20,t,0.1,0,sonar:monkone:monktwo
3,k20,t,0.1,2,sonar:monkone:monktwo
3,k20,t,0.1,3,sonar:monkone:monktwo
3,k20,t,0.1,4,sonar:monkone:monktwo
3,k20,t,0.1,5,sonar:monkone:monktwo
3,k10,w,0.1,8,monkone:monktwo:yeast3
